"location","max_infection_count","population","max_infection_rate"
"Faeroe Islands",34658.000,52888.000,65.531
"Cyprus",571994.000,896007.000,63.838
"Gibraltar",20034.000,32670.000,61.322
"San Marino",20130.000,33746.000,59.652
"Andorra",45899.000,79034.000,58.075
"Denmark",3252087.000,5854240.000,55.551
"Iceland",203518.000,370335.000,54.955
"Austria",4861952.000,8922082.000,54.493
"Saint Pierre and Miquelon",3131.000,5883.000,53.221
"Portugal",5376433.000,10290103.000,52.249
"Slovenia",1103466.000,2119410.000,52.065
"France",34253699.000,67422000.000,50.805
"Israel",4614404.000,9291000.000,49.665
"Falkland Islands",1867.000,3764.000,49.601
"Liechtenstein",18907.000,39039.000,48.431
"Brunei",215283.000,445373.000,48.338
"Netherlands",8373241.000,17501696.000,47.842
"Slovakia",2584276.000,5447622.000,47.439
"Latvia",881020.000,1873919.000,47.015
"Switzerland",3994397.000,8691406.000,45.958
"Bahrain",666939.000,1463265.000,45.579
"Georgia",1710749.000,3757980.000,45.523
"Isle of Man",37794.000,84263.000,44.852
"Estonia",593571.000,1328701.000,44.673
"Luxembourg",284931.000,639321.000,44.568
"Greece",4577675.000,10445365.000,43.825
"Cayman Islands",29653.000,68136.000,43.520
"Lithuania",1200477.000,2786651.000,43.080
"Montenegro",269719.000,627859.000,42.959
"Seychelles",45692.000,106470.000,42.915
"South Korea",21418036.000,51830139.000,41.324
"Bonaire Sint Eustatius and Saba",10999.000,26706.000,41.186
"Aruba",42478.000,106536.000,39.872
"Monaco",14277.000,36686.000,38.917
"Belgium",4453483.000,11611420.000,38.354
"Czechia",4012244.000,10510750.000,38.173
"Australia",9810496.000,25921089.000,37.848
"Germany",31535343.000,83408554.000,37.808
"Cook Islands",6209.000,17003.000,36.517
"Italy",21499531.000,59240330.000,36.292
"Maldives",184591.000,521458.000,35.399
"United Kingdom",23509727.000,67281040.000,34.943
"Barbados",97638.000,281200.000,34.722
"Ireland",1650791.000,4986526.000,33.105
"New Zealand",1691261.000,5129728.000,32.970
"Singapore",1794069.000,5453600.000,32.897
