,state,ebrw_sat_18,math_sat_18,total_sat_18,p_sat_rate_18,composite_act_18,p_act_rate_18
0,Alabama,595,571,1166,0.06,19.1,1.0
1,Alaska,562,544,1106,0.43,20.8,0.33
2,Arizona,577,572,1149,0.29,19.2,0.66
3,Arkansas,592,576,1169,0.05,19.4,1.0
4,California,540,536,1076,0.6,22.7,0.27
5,Colorado,519,506,1025,1.0,23.9,0.3
6,Connecticut,535,519,1053,1.0,25.6,0.26
7,Delaware,505,492,998,1.0,23.8,0.17
8,District of Columbia,497,480,977,0.92,23.6,0.32
9,Florida,550,549,1099,0.56,19.9,0.66
10,Georgia,542,522,1064,0.7,21.4,0.53
11,Hawaii,480,530,1010,0.56,18.9,0.89
12,Idaho,508,493,1001,1.0,22.3,0.36
13,Illinois,513,506,1019,0.99,23.9,0.43
14,Indiana,542,532,1074,0.63,22.5,0.32
15,Iowa,634,631,1265,0.03,21.8,0.68
16,Kansas,633,631,1265,0.04,21.6,0.71
17,Kentucky,630,618,1248,0.04,20.2,1.0
18,Louisiana,615,595,1210,0.04,19.2,1.0
19,Maine,512,501,1013,0.99,24.0,0.07
20,Maryland,545,535,1080,0.76,22.5,0.31
21,Massachusetts,562,563,1125,0.8,25.5,0.25
22,Michigan,511,499,1011,1.0,24.2,0.22
23,Minnesota,643,655,1298,0.04,21.3,0.99
24,Mississippi,630,606,1236,0.03,18.6,1.0
25,Missouri,633,629,1262,0.04,20.0,1.0
26,Montana,606,592,1198,0.1,20.0,1.0
27,Nebraska,629,623,1252,0.03,20.1,1.0
28,Nevada,574,566,1140,0.23,17.7,1.0
29,New Hampshire,535,528,1063,0.96,25.1,0.16
30,New Jersey,547,547,1094,0.82,23.7,0.31
31,New Mexico,552,540,1093,0.16,19.4,0.67
32,New York,534,534,1068,0.79,24.5,0.27
33,North Carolina,554,543,1098,0.52,19.1,1.0
34,North Dakota,640,643,1283,0.02,20.3,0.98
35,Oklahoma,541,521,1062,0.08,19.3,1.0
36,Ohio,552,547,1099,0.18,20.3,1.0
37,Oregon,564,553,1117,0.48,21.3,0.42
38,Pennsylvania,547,539,1086,0.7,23.5,0.2
39,Rhode Island,513,505,1018,0.97,24.2,0.15
40,South Carolina,547,523,1070,0.55,18.3,1.0
41,South Dakota,622,618,1240,0.03,21.9,0.77
42,Tennessee,624,607,1231,0.06,19.6,1.0
43,Texas,520,512,1032,0.66,20.7,0.45
44,Utah,480,530,1010,0.04,20.4,1.0
45,Vermont,565,554,1120,0.64,24.1,0.24
46,Virginia,567,550,1117,0.68,23.9,0.24
47,Washington,543,538,1081,0.69,22.2,0.24
48,West Virginia,513,486,999,0.28,20.3,0.65
49,Wisconsin,641,653,1294,0.03,20.5,1.0
50,Wyoming,633,625,1257,0.03,20.0,1.0
