,state,ebrw_sat_17,math_sat_17,total_sat_17,p_sat_rate_17,english_act_17,math_act_17,reading_act_17,sci_act_17,composite_act_17,p_act_rate_17,ebrw_sat_18,math_sat_18,total_sat_18,p_sat_rate_18,composite_act_18,p_act_rate_18
0,Alabama,593,572,1165,0.05,18.9,18.4,19.7,19.4,19.2,1.0,595,571,1166,0.06,19.1,1.0
1,Alaska,547,533,1080,0.38,18.7,19.8,20.4,19.9,19.8,0.65,562,544,1106,0.43,20.8,0.33
2,Arizona,563,553,1116,0.3,18.6,19.8,20.1,19.8,19.7,0.62,577,572,1149,0.29,19.2,0.66
3,Arkansas,614,594,1208,0.03,18.9,19.0,19.7,19.5,19.4,1.0,592,576,1169,0.05,19.4,1.0
4,California,531,524,1055,0.53,22.5,22.7,23.1,22.2,22.8,0.31,540,536,1076,0.6,22.7,0.27
5,Colorado,606,595,1201,0.11,20.1,20.3,21.2,20.9,20.8,1.0,519,506,1025,1.0,23.9,0.3
6,Connecticut,530,512,1041,1.0,25.5,24.6,25.6,24.6,25.2,0.31,535,519,1053,1.0,25.6,0.26
7,Delaware,503,492,996,1.0,24.1,23.4,24.8,23.6,24.1,0.18,505,492,998,1.0,23.8,0.17
8,District of Columbia,482,468,950,1.0,24.4,23.5,24.9,23.5,24.2,0.32,497,480,977,0.92,23.6,0.32
9,Florida,520,497,1017,0.83,19.0,19.4,21.0,19.4,19.8,0.73,550,549,1099,0.56,19.9,0.66
10,Georgia,535,515,1050,0.61,21.0,20.9,22.0,21.3,21.4,0.55,542,522,1064,0.7,21.4,0.53
11,Hawaii,544,541,1085,0.55,17.8,19.2,19.2,19.3,19.0,0.9,480,530,1010,0.56,18.9,0.89
12,Idaho,513,493,1005,0.93,21.9,21.8,23.0,22.1,22.3,0.38,508,493,1001,1.0,22.3,0.36
13,Illinois,559,556,1115,0.09,21.0,21.2,21.6,21.3,21.4,0.93,513,506,1019,0.99,23.9,0.43
14,Indiana,542,532,1074,0.63,22.0,22.4,23.2,22.3,22.6,0.35,542,532,1074,0.63,22.5,0.32
15,Iowa,641,635,1275,0.02,21.2,21.3,22.6,22.1,21.9,0.67,634,631,1265,0.03,21.8,0.68
16,Kansas,632,628,1260,0.04,21.1,21.3,22.3,21.7,21.7,0.73,633,631,1265,0.04,21.6,0.71
17,Kentucky,631,616,1247,0.04,19.6,19.4,20.5,20.1,20.0,1.0,630,618,1248,0.04,20.2,1.0
18,Louisiana,611,586,1198,0.04,19.4,18.8,19.8,19.6,19.5,1.0,615,595,1210,0.04,19.2,1.0
19,Maine,513,499,1012,0.95,24.2,24.0,24.8,23.7,24.3,0.08,512,501,1013,0.99,24.0,0.07
20,Maryland,536,524,1060,0.69,23.3,23.1,24.2,23.8,23.6,0.28,545,535,1080,0.76,22.5,0.31
21,Massachusetts,555,551,1107,0.76,25.4,25.3,25.9,24.7,25.4,0.29,562,563,1125,0.8,25.5,0.25
22,Michigan,509,495,1005,1.0,24.1,23.7,24.5,23.8,24.1,0.29,511,499,1011,1.0,24.2,0.22
23,Minnesota,644,651,1295,0.03,20.4,21.5,21.8,21.6,21.5,1.0,643,655,1298,0.04,21.3,0.99
24,Mississippi,634,607,1242,0.02,18.2,18.1,18.8,18.8,18.6,1.0,630,606,1236,0.03,18.6,1.0
25,Missouri,640,631,1271,0.03,19.8,19.9,20.8,20.5,20.4,1.0,633,629,1262,0.04,20.0,1.0
26,Montana,605,591,1196,0.1,19.0,20.2,21.0,20.5,20.3,1.0,606,592,1198,0.1,20.0,1.0
27,Nebraska,629,625,1253,0.03,20.9,20.9,21.9,21.5,21.4,0.84,629,623,1252,0.03,20.1,1.0
28,Nevada,563,553,1116,0.26,16.3,18.0,18.1,18.2,17.8,1.0,574,566,1140,0.23,17.7,1.0
29,New Hampshire,532,520,1052,0.96,25.4,25.1,26.0,24.9,25.5,0.18,535,528,1063,0.96,25.1,0.16
30,New Jersey,530,526,1056,0.7,23.8,23.8,24.1,23.2,23.9,0.34,547,547,1094,0.82,23.7,0.31
31,New Mexico,577,561,1138,0.11,18.6,19.4,20.4,20.0,19.7,0.66,552,540,1093,0.16,19.4,0.67
32,New York,528,523,1052,0.67,23.8,24.0,24.6,23.9,24.2,0.31,534,534,1068,0.79,24.5,0.27
33,North Carolina,546,535,1081,0.49,17.8,19.3,19.6,19.3,19.1,1.0,554,543,1098,0.52,19.1,1.0
34,North Dakota,635,621,1256,0.02,19.0,20.4,20.5,20.6,20.3,0.98,640,643,1283,0.02,20.3,0.98
35,Ohio,578,570,1149,0.12,21.2,21.6,22.5,22.0,22.0,0.75,552,547,1099,0.18,20.3,1.0
36,Oklahoma,530,517,1047,0.07,18.5,18.8,20.1,19.6,19.4,1.0,541,521,1062,0.08,19.3,1.0
37,Oregon,560,548,1108,0.43,21.2,21.5,22.4,21.7,21.8,0.4,564,553,1117,0.48,21.3,0.42
38,Pennsylvania,540,531,1071,0.65,23.4,23.4,24.2,23.3,23.7,0.23,547,539,1086,0.7,23.5,0.2
