,Id,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
0,109,60,RL,68,13517,Pave,na,2,Lvl,3,CulDSac,2,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3,3,1,6,533.0,1,0,192,725,GasA,5,Y,4,725,754,0,1479,0,0,2,1,3,1,4,6,7,0,0,Attchd,1976,2,2,475,3,3,2,0,44,0,0,0,0,0,0,na,0,3,2010,WD ,130500
1,544,60,RL,43,11492,Pave,na,2,Lvl,3,CulDSac,2,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4,3,1,6,637.0,1,0,276,913,GasA,5,Y,4,913,1209,0,2122,1,0,2,1,4,1,4,8,7,1,3,Attchd,1997,2,2,559,3,3,2,0,74,0,0,0,0,0,0,na,0,4,2009,WD ,220000
2,153,20,RL,68,7922,Pave,na,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,6,731.0,1,0,326,1057,GasA,3,Y,4,1057,0,0,1057,1,0,1,0,3,1,4,5,7,0,0,Detchd,1953,1,1,246,3,3,2,0,52,0,0,0,0,0,0,na,0,1,2010,WD ,109000
3,318,60,RL,73,9802,Pave,na,3,Lvl,3,Inside,2,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0,384,384,GasA,4,Y,4,744,700,0,1444,0,0,2,1,3,1,3,7,7,0,0,BuiltIn,2007,3,2,400,3,3,2,100,0,0,0,0,0,0,0,na,0,4,2010,WD ,174000
4,255,50,RL,82,14235,Pave,na,2,Lvl,3,Inside,2,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2,4,1,1,0.0,1,0,676,676,GasA,3,Y,4,831,614,0,1445,0,0,2,0,3,1,3,6,7,0,0,Detchd,1957,1,2,484,3,3,0,0,59,0,0,0,0,0,0,na,0,3,2010,WD ,138500
5,138,20,RL,137,16492,Pave,na,2,Lvl,3,Corner,2,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3,3,1,5,247.0,3,713,557,1517,GasA,5,Y,4,1888,0,0,1888,0,0,2,1,2,1,4,6,4,1,4,Attchd,1966,3,2,578,3,3,2,0,0,0,0,0,0,0,0,na,0,6,2010,WD ,190000
6,2827,180,RM,35,3675,Pave,na,3,Lvl,3,Inside,2,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4,3,4,6,547.0,1,0,0,547,GasA,4,Y,4,1072,0,0,1072,1,0,2,0,2,1,3,5,7,0,0,Basment,2005,3,2,525,3,3,2,0,44,0,0,0,0,0,0,na,0,6,2006,New,140000
7,145,20,RL,68,12160,Pave,na,2,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3,3,1,3,1000.0,1,0,188,1188,GasA,2,Y,4,1188,0,0,1188,1,0,1,0,3,1,3,6,7,0,0,Attchd,1959,2,2,531,3,3,2,0,0,0,0,0,0,0,3,na,0,5,2010,COD,142000
8,1942,20,RL,68,15783,Pave,na,3,Lvl,3,Inside,2,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,292.0,1,0,632,924,GasA,3,Y,4,924,0,0,924,0,0,1,0,2,1,3,6,7,0,0,Detchd,1952,1,1,420,3,3,2,0,324,0,0,0,0,0,3,Shed,400,6,2007,WD ,112500
9,1956,60,RL,70,11606,Pave,na,2,HLS,3,Inside,0,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4,3,3,3,650.0,1,0,390,1040,GasA,3,Y,4,1040,1040,0,2080,0,1,1,2,5,1,2,9,7,2,3,Attchd,1969,1,2,504,3,3,2,335,0,0,0,0,0,0,0,na,0,9,2007,WD ,135000
