street_name,postal_code
JLN BT MERAH,160112
WOODLANDS DR 44,737776
ANG MO KIO ST 21,569383
CHOA CHU KANG ST 64,689100
BT BATOK ST 31,650374
BANGKIT RD,679939
CHOA CHU KANG NTH 6,689578
JURONG WEST ST 73,649188
TEBAN GDNS RD,600037
YUNG SHENG RD,618495
MONTREAL DR,750504
MARSILING RISE,730131
PASIR RIS ST 21,518968
BEDOK NTH AVE 4,460100
YUNG KUANG RD,610063
ALJUNIED CRES,380100
WOODLANDS DR 75,730687
LOR 3 GEYLANG,388860
LOR 6 TOA PAYOH,319381
WOODLANDS ST 32,730329
LOR 3 TOA PAYOH,319579
WOODLANDS ST 82,738507
CHOA CHU KANG NTH 5,NIL
PASIR RIS ST 11,519075
WOODLANDS CIRCLE,731764
ANG MO KIO ST 52,569228
SERANGOON NTH AVE 4,552152
MARSILING CRES,730210
TAMPINES ST 72,520717
CLARENCE LANE,140129
PUNGGOL CTRL,828839
TAMPINES AVE 5,520938
JLN MEMBINA,169479
WOODLANDS DR 53,730557
BOON LAY DR,649925
QUEEN'S RD,260001
YISHUN AVE 2,760837
ANG MO KIO AVE 9,569758
RIVERVALE WALK,540101
JURONG WEST ST 71,NIL
SENGKANG EAST WAY,544885
HAVELOCK RD,161022
CHOA CHU KANG ST 52,689284
YISHUN ST 61,768547
KIM PONG RD,160049
SIMS DR,380061
CANBERRA ST,750101
CIRCUIT RD,370080
CLEMENTI AVE 4,120301
POTONG PASIR AVE 1,350148
SEMBAWANG CRES,757093
WHAMPOA RD,327691
BUANGKOK LINK,541275
WOODLANDS AVE 9,738954
WOODLANDS DR 72,738089
UPP SERANGOON RD,NIL
POTONG PASIR AVE 2,358361
BISHAN ST 22,570282
JOO CHIAT RD,420002
PASIR RIS DR 3,510632
TOA PAYOH NTH,310208
TAMPINES CTRL 1,520506
BEDOK NTH ST 4,460085
SIMS AVE,387603
CHAI CHEE AVE,462029
PASIR RIS ST 72,510735
YISHUN AVE 6,768959
JURONG WEST CTRL 1,640691
JELLICOE RD,200813
SERANGOON AVE 3,550542
LOR LEW LIAN,531002
HO CHING RD,610111
REDHILL CL,151001
EDGEDALE PLAINS,828690
COMPASSVALE DR,541201
ANCHORVALE CRES,544618
YISHUN ST 31,764333
ST. GEORGE'S RD,320001
CHOA CHU KANG LOOP,689687
TAMPINES ST 71,529067
UPP SERANGOON VIEW,530476
TAMPINES ST 21,522201
TAMPINES ST 12,529426
PASIR RIS ST 71,518798
ANG MO KIO ST 61,569161
ANCHORVALE LANE,544584
BT PANJANG RING RD,671259
WOODLANDS DR 73,NIL
BEDOK RESERVOIR VIEW,470775
CLEMENTI ST 12,121107
BT BATOK EAST AVE 3,650280
SAGO LANE,050004
TOH YI DR,591601
CLEMENTI AVE 2,NIL
JURONG WEST CTRL 3,NIL
TAMPINES ST 43,529151
JURONG EAST ST 21,609606
SENGKANG WEST AVE,797653
BUFFALO RD,210665
PASIR RIS DR 1,519525
BUANGKOK GREEN,539747
TAMPINES AVE 7,529619
BEDOK NTH AVE 1,469751
OWEN RD,217662
SIMEI ST 2,529914
PETIR RD,678265
WEST COAST RD,NIL
PASIR RIS ST 52,518866
BEDOK NTH RD,469678
TANGLIN HALT RD,141088
JLN RUMAH TINGGI,150008
SUMANG WALK,828675
ALJUNIED RD,NIL
DOVER CL EAST,130012
WOODLANDS RING RD,738239
KEAT HONG CL,NIL
JURONG EAST ST 24,600252
ST. GEORGE'S LANE,328047
BRIGHT HILL DR,579580
JLN RAJAH,329133
GHIM MOH LINK,271029
WATERLOO ST,187961
ANG MO KIO AVE 8,NIL
BISHAN ST 24,570279
TAMPINES AVE 8,529594
BEDOK NTH ST 1,460216
